GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api-aprimorar,com.aprimorar.api,ApiAprimorarApplication,8,0,0,0,3,0,2,0,2,0
api-aprimorar,com.aprimorar.api.domain.address.exception,InvalidAddressException,4,0,0,0,2,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.event.web,EventController,71,0,0,0,18,0,9,0,9,0
api-aprimorar,com.aprimorar.api.domain.event.repository,EventSpecifications,51,0,0,0,6,0,2,0,2,0
api-aprimorar,com.aprimorar.api.domain.dashboard,DashboardService.DateTimeRange,9,0,0,0,1,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.dashboard,DashboardService,129,0,12,0,50,0,11,0,5,0
api-aprimorar,com.aprimorar.api.exception,GlobalExceptionHandler,139,0,18,0,51,0,18,0,9,0
api-aprimorar,com.aprimorar.api.exception,ErrorCode,54,0,0,0,6,0,1,0,1,0
api-aprimorar,com.aprimorar.api.exception,ProblemDetailResponseDTO,21,0,0,0,1,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.event,EventRules,72,66,14,14,15,20,15,5,2,4
api-aprimorar,com.aprimorar.api.domain.event,Event,0,79,0,0,0,34,0,23,0,23
api-aprimorar,com.aprimorar.api.domain.event,EventService,196,152,8,4,51,40,14,7,8,7
api-aprimorar,com.aprimorar.api.domain.event,EventMapper,89,4,0,0,26,1,4,1,4,1
api-aprimorar,com.aprimorar.api.domain.parent.dto,ParentRequestDTO,15,0,0,0,1,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.parent.dto,ParentOptionDTO,9,0,0,0,1,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.parent.dto,ParentResponseDTO,27,0,0,0,1,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.student.repository,StudentSpecifications,80,0,0,0,10,0,9,0,9,0
api-aprimorar,com.aprimorar.api.shared,BaseEntity,15,16,0,0,7,6,4,5,4,5
api-aprimorar,com.aprimorar.api.shared,MapperUtils,165,0,28,0,27,0,23,0,9,0
api-aprimorar,com.aprimorar.api.domain.dashboard.exception,InvalidDashboardRequestException,4,0,0,0,2,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.student,StudentRules,91,0,26,0,20,0,16,0,3,0
api-aprimorar,com.aprimorar.api.domain.student,StudentService,394,0,20,0,85,0,28,0,18,0
api-aprimorar,com.aprimorar.api.domain.student,Student,49,10,0,0,21,5,14,3,14,3
api-aprimorar,com.aprimorar.api.domain.student,StudentMapper,100,0,0,0,30,0,4,0,4,0
api-aprimorar,com.aprimorar.api.domain.event.dto,EventResponseDTO,0,45,0,0,0,1,0,1,0,1
api-aprimorar,com.aprimorar.api.domain.event.dto,EventRequestDTO,0,30,0,0,0,1,0,1,0,1
api-aprimorar,com.aprimorar.api.config,JacksonConfig,3,0,0,0,1,0,1,0,1,0
api-aprimorar,com.aprimorar.api.config,ClockConfig,7,0,0,0,2,0,2,0,2,0
api-aprimorar,com.aprimorar.api.config,WebCorsConfig,51,0,0,0,7,0,2,0,2,0
api-aprimorar,com.aprimorar.api.enums,EventContent,0,74,0,0,0,8,0,1,0,1
api-aprimorar,com.aprimorar.api.enums,Duty,54,0,0,0,6,0,1,0,1,0
api-aprimorar,com.aprimorar.api.enums,BrazilianState,312,0,0,0,32,0,3,0,3,0
api-aprimorar,com.aprimorar.api.enums,Role,44,0,0,0,5,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.parent.repository,ParentSpecifications,45,0,0,0,6,0,2,0,2,0
api-aprimorar,com.aprimorar.api.domain.parent,ParentService,283,0,16,0,74,0,23,0,15,0
api-aprimorar,com.aprimorar.api.domain.parent,ParentMapper,48,0,0,0,16,0,3,0,3,0
api-aprimorar,com.aprimorar.api.domain.parent,ParentRules,55,0,16,0,12,0,11,0,3,0
api-aprimorar,com.aprimorar.api.domain.parent,Parent,31,0,0,0,14,0,9,0,9,0
api-aprimorar,com.aprimorar.api.domain.parent.exception,ParentHasLinkedStudentsException,4,0,0,0,2,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.parent.exception,InvalidParentException,4,0,0,0,2,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.parent.exception,ParentNotFoundException,4,0,0,0,2,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.parent.exception,ParentAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.parent.web,ParentController,70,0,0,0,18,0,10,0,10,0
api-aprimorar,com.aprimorar.api.domain.student.web,StudentController,82,0,0,0,22,0,11,0,11,0
api-aprimorar,com.aprimorar.api.domain.employee.dto,EmployeeResponseDTO,36,0,0,0,1,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.employee.dto,EmployeeRequestDTO,24,0,0,0,1,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.employee.dto,EmployeeOptionDTO,9,0,0,0,1,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.student.exception,StudentAlreadyExistException,4,0,0,0,2,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.student.exception,StudentNotFoundException,4,0,0,0,2,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.student.exception,InvalidStudentException,4,0,0,0,2,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.dashboard.web,DashboardController,19,0,0,0,6,0,3,0,3,0
api-aprimorar,com.aprimorar.api.domain.address.dto,AddressResponseDTO,24,0,0,0,1,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.address.dto,AddressRequestDTO,24,0,0,0,1,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.employee.exception,EmployeeAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.employee.exception,EmployeeNotFoundException,4,0,0,0,2,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.employee.repository,EmployeeSpecifications,63,0,0,0,9,0,4,0,4,0
api-aprimorar,com.aprimorar.api.domain.employee.web,EmployeeController,74,0,0,0,20,0,10,0,10,0
api-aprimorar,com.aprimorar.api.domain.employee,Employee,42,10,0,0,18,5,12,3,12,3
api-aprimorar,com.aprimorar.api.domain.employee,EmployeeService,295,0,12,0,64,0,22,0,16,0
api-aprimorar,com.aprimorar.api.domain.employee,EmployeeMapper,65,0,0,0,22,0,3,0,3,0
api-aprimorar,com.aprimorar.api.domain.employee,EmployeeRules,63,0,18,0,14,0,12,0,3,0
api-aprimorar,com.aprimorar.api.domain.address,Address,52,0,0,0,23,0,15,0,15,0
api-aprimorar,com.aprimorar.api.domain.address,AddressMapper,53,0,0,0,17,0,3,0,3,0
api-aprimorar,com.aprimorar.api.domain.address,AddressRules,75,0,22,0,16,0,14,0,3,0
api-aprimorar,com.aprimorar.api.domain.dashboard.dto,DashboardSummaryResponseDTO,111,0,2,0,33,0,5,0,4,0
api-aprimorar,com.aprimorar.api.domain.dashboard.dto,DashboardSummaryResponseDTO.ClassesByContentDTO,12,0,0,0,1,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.event.exception,EventScheduleConflictException,4,0,0,0,2,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.event.exception,NotAllowedToUpdateEventException,4,0,0,0,2,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.event.exception,InvalidEventException,0,4,0,0,0,2,0,1,0,1
api-aprimorar,com.aprimorar.api.domain.event.exception,EventNotFoundException,4,0,0,0,2,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.student.dto,StudentRequestDTO,27,0,0,0,1,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.student.dto,StudentResponseDTO,42,0,0,0,1,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.student.dto,StudentByParentDTO,3,0,0,0,1,0,1,0,1,0
api-aprimorar,com.aprimorar.api.domain.student.dto,StudentOptionDTO,9,0,0,0,1,0,1,0,1,0
